song,Days_on_chart,Average_rank,Best_rank,Rank_volatility
Breathe,38,23.210526315789473,14,7.2714097474633475
Brown Eyed Girl,3,40.0,29,9.539392014169456
But Daddy I Love Him,33,21.181818181818183,5,12.763361982287783
Bye,24,29.458333333333332,21,5.283108165091641
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,16,36.3125,24,5.918544303007851
CARNIVAL,107,16.42056074766355,1,17.782775948577676
CHIHIRO,56,21.767857142857142,5,14.13698061041398
CIRCUS MAXIMUS,3,17.666666666666668,12,5.507570547286101
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),5,28.6,23,4.929503017546495
CS,1,27.0,27,
CYBERTRUCK,5,19.8,7,11.713240371477058
California Sober (Feat. Chris Stapleton),6,34.333333333333336,17,11.500724614852174
Call Your Friends,1,33.0,33,
Call Your Mom,1,35.0,35,
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",31,16.225806451612904,4,10.138078967994396
Calling For You (feat. 21 Savage),7,8.142857142857142,4,4.740906081772817
Calm Down (with Selena Gomez),52,42.55769230769231,35,3.7069804928077668
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,43,35.604651162790695,13,10.672928671317647
Cars Bring Me Out (feat. Future),1,17.0,17,
Cassandra,7,39.57142857142857,32,7.207800007795784
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),7,15.571428571428571,10,9.089502055616007
Casual,81,41.75308641975309,29,5.8170672683869045
"Changes In Latitudes, Changes In Attitudes",1,50.0,50,
Cheeseburger In Paradise,2,38.0,30,11.313708498984761
Chemical,26,38.96153846153846,27,8.258235982245935
Chicken Fried,4,24.5,10,17.69180601295413
Chill Bae,1,40.0,40,
Chloe or Sam or Sophia or Marcus,8,34.625,27,7.229651246281327
Christmas (Baby Please Come Home),31,34.45161290322581,20,9.26944338378315
Christmas Time Is Here,12,39.75,27,9.245391972613854
Christmas Tree Farm,2,41.5,40,2.1213203435596424
Cinderella,27,20.666666666666668,7,8.651367166301165
Clara Bow,13,29.46153846153846,19,10.40525015409196
Claustrophobic,4,30.5,14,11.561430130683084
Clean (Taylor's Version),8,28.625,14,12.094124901904113
Close To You,21,35.76190476190476,26,7.725961182304516
Clouded,18,43.388888888888886,34,4.729617431225451
Cobra,3,45.0,45,0.0
Coincidence,24,27.041666666666668,12,12.369243647280825
Come Monday,1,44.0,44,
Cool With You,4,34.0,26,11.313708498984761
Corazón de Piedra,8,45.5,42,2.449489742783178
"Courtesy Of The Red, White And Blue (The Angry American)",7,19.857142857142858,10,8.802056036869482
Cowgirls (feat. ERNEST),184,31.39673913043478,17,8.749719134751677
Creepin' (with The Weeknd & 21 Savage),55,36.70909090909091,24,6.468363830191575
Crocodile Tearz,6,22.5,4,13.780420893427022
Cruel Summer,388,16.917525773195877,1,13.6252312712745
Cruel Summer - Live from TS | The Eras Tour,2,28.0,10,25.45584412271571
Crush Em,3,25.666666666666668,7,20.13289182738867
Cry,2,47.0,46,1.4142135623730951
Cupid - Twin Ver.,71,25.746478873239436,7,11.819739312884495
DAUGHTER,6,28.0,13,12.505998560690786
DELRESTO (ECHOES),3,12.0,8,4.58257569495584
DELRESTO (ECHOES) (feat. Beyoncé),5,18.4,16,2.4083189157584592
DESERT EAGLE,2,35.5,31,6.363961030678928
DEVIL IS A LIE,46,27.0,13,10.130262692656206
DJ Got Us Fallin' In Love (feat. Pitbull),2,38.0,37,1.4142135623730951
DO IT,5,18.6,11,7.092249290598858
DOS DÍAS,9,48.0,45,1.732050807568877
Dance The Night (From Barbie The Album),48,18.125,8,10.2596607301544
Dance The Night - From Barbie The Album,43,28.372093023255815,14,8.775027488259626
Dancing In The Flames,7,23.857142857142858,10,8.173709305420875
Danger (Spider) (Offset & JID),1,49.0,49,
Dark Red,27,45.851851851851855,40,3.48296628336453
"Darling, I (feat. Teezo Touchdown)",26,14.923076923076923,2,11.099272325420534
Dawns (feat. Maggie Rogers),4,49.5,49,0.5773502691896247
Daylight,62,34.064516129032256,6,12.377757639744775
Days Come and Go,1,40.0,40,
Dead or Alive,1,47.0,47,
Dear John (Taylor's Version),7,19.857142857142858,6,13.993195625357485
Deck The Hall,12,30.416666666666668,22,7.166314297186564
Deck The Halls,15,41.2,30,6.212889826803628
Deep Satin,4,32.75,22,9.429563439877091
Deeper Well,2,38.0,28,14.142135623730951
Defying Gravity,3,34.666666666666664,22,12.055427546683415
Deli,33,40.81818181818182,19,7.739729264703584
Demons,8,37.375,26,8.210402808980463
Devil I've Been (Feat. ERNEST),3,38.666666666666664,32,5.773502691896258
