song,Days_on_chart,Average_rank,Best_rank,Rank_volatility
NIGHTS LIKE THIS,147,31.591836734693878,20,6.092612978408257
NO ME QUIERO CASAR,2,25.0,25,0.0
Nakamura,2,25.5,16,13.435028842544403
Needle (feat. Drake),7,29.714285714285715,10,9.911513266807205
Neva Play (feat. RM of BTS),6,44.166666666666664,38,3.4880749227427246
Never Grow Up (Taylor's Version),4,26.75,17,8.421203397773187
Never Lose Me,76,17.842105263157894,5,13.06910109796278
Never Love You Again (Feat. Sierra Ferrell),3,46.333333333333336,39,6.350852961085883
New Jeans,3,34.666666666666664,31,6.350852961085884
New Romantics,1,31.0,31,
New Romantics (Taylor's Version),9,27.444444444444443,12,11.641639823400213
New Year’s Day,1,39.0,39,
Night Changes,10,31.1,16,9.723396754449777
Nine Ball,3,43.333333333333336,36,6.350852961085883
No Complaints,1,24.0,24,
No Face,3,40.0,37,5.196152422706632
No One Noticed,52,36.75,17,9.622023349240704
No One Noticed (Extended English),2,37.5,30,10.606601717798213
No Pole,7,47.42857142857143,44,2.2990681342044397
No Role Modelz,272,34.51470588235294,19,7.474912821190176
Noid,26,19.923076923076923,3,14.59841930326178
Nonsense,3,48.0,45,2.6457513110645907
Northern Attitude (with Hozier),8,21.75,2,12.186057606953941
Nosedive (Feat. Lainey Wilson),5,34.2,25,7.529940238806679
Not Allowed,25,43.72,38,3.8678159211627423
Not An Option,1,37.0,37,
Not Like Us,201,11.99502487562189,1,12.712787858073385
Novacandy,1,36.0,36,
Now And Then,4,34.5,24,12.556538801224908
Now That We Don't Talk (Taylor's Version) (From The Vault),34,14.676470588235293,2,15.193141571187281
OCEAN,1,36.0,36,
OH LOUISIANA,2,38.5,32,9.192388155425117
ONE CALL,81,24.839506172839506,13,9.674007429865167
Oak Island,5,33.4,18,10.945318634009702
Of Course (Bonus Track),1,45.0,45,
Oh U Went (feat. Drake),8,17.375,3,14.201986782539567
Oklahoman Son,6,35.333333333333336,22,8.75595035770913
On The Radar Freestyle,1,46.0,46,
"One Of The Girls (with JENNIE, Lily Rose Depp)",94,32.638297872340424,15,9.082478776607317
One Of Your Girls,10,32.4,24,6.915361322607968
One Thing At A Time,10,45.4,38,3.747591819348052
Or What,13,40.76923076923077,35,4.342692063567753
Ours (Taylor’s Version),4,31.0,22,8.602325267042628
Out Of My Hands,2,49.0,49,0.0
Out Of The Woods,1,41.0,41,
Out Of The Woods (Taylor's Version),11,22.363636363636363,7,13.276089237970098
Overcompensate,1,48.0,48,
Overdrive,9,28.88888888888889,16,7.849274559544411
Overtime,12,26.5,2,16.09347693943108
PAID,6,27.333333333333332,9,15.214028613968974
PAPERWORK,4,27.75,16,10.53169818531972
PARASAIL,3,25.0,17,7.54983443527075
PARASAIL (feat. Yung Lean & Dave Chappelle),3,39.666666666666664,32,8.621678104251709
PERRO NEGRO,36,25.583333333333332,11,12.586557455135564
PLUTOSKI,1,23.0,23,
PRC,45,28.31111111111111,12,9.356140963953768
PRESS THE BUTTON,1,50.0,50,
PROBLEMATIC,3,32.666666666666664,27,4.932882862316248
PROMOTION,1,48.0,48,
PROTECTOR,4,29.75,14,13.720422734012244
Paars In The Mars,1,36.0,36,
Paint The Town Red,197,16.238578680203045,1,14.631142840758752
Parade on Cleveland (feat. Drake),1,4.0,4,
Parking Lot,7,38.142857142857146,29,6.890296835129129
Party In The U.S.A.,7,14.0,4,9.763879010584539
Patience (feat. Don Toliver),2,36.5,23,19.091883092036785
Paul Revere,1,36.0,36,
Pelle Coat,1,41.0,41,
"Peso Pluma: Bzrp Music Sessions, Vol. 55",46,23.456521739130434,3,15.676885350716734
Peter,7,39.42857142857143,33,6.373307431706683
Pi (feat. Daylyt & Ab-Soul),1,25.0,25,
Pink + White,217,39.60829493087557,23,6.8413587930202455
Pink Pony Club,148,21.66216216216216,12,8.74005094558079
Pink Skies,177,22.062146892655367,7,10.871228809072557
Please Come Home for Christmas - 2013 Remaster,12,38.416666666666664,24,9.976867183032896
Please Please Please,170,9.905882352941177,1,9.685129856698198
Pluto to Mars,3,26.333333333333332,19,8.082903768654761
Polar Opposites,5,36.8,26,8.555699854482976
Popular,1,44.0,44,
Popular (with Playboi Carti & Madonna),24,38.083333333333336,3,13.334873099497798
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),18,21.666666666666668,15,4.715431487960253
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,27,28.962962962962962,21,7.089979285428571
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),3,29.666666666666668,23,7.023769168568492
Por las Noches,41,35.146341463414636,20,10.245879600136231
Pour Me A Drink (Feat. Blake Shelton),35,24.914285714285715,9,12.071774148501824
Praise Jah In The Moonlight,42,34.45238095238095,21,10.037010489117401
"Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)",3,25.666666666666668,7,17.616280348965084
Princess Diana (with Nicki Minaj),2,49.0,49,0.0
Psycho Killer - 2005 Remaster,1,46.0,46,
Purple Gas,2,41.0,34,9.899494936611665
Push Ups,28,21.214285714285715,11,11.67890514546742
QLONA,85,28.4,14,10.666145820617055
Que Onda,56,44.589285714285715,36,2.921872287136735
Qué Pasaría...,9,35.666666666666664,14,10.700467279516348
READY TO COOK UP,1,26.0,26,
RELOJ,2,47.0,47,0.0
RIIVERDANCE,4,36.5,28,8.06225774829855
ROSA PASTEL,1,48.0,48,
Rah Tah Tah,25,18.68,2,12.690941651429968
Ready ‘24 (feat. Cam’ron),2,22.5,11,16.263455967290593
Red Button,2,20.0,6,19.79898987322333
Red Leather,2,40.0,40,0.0
Red Wine Supernova,149,27.543624161073826,14,9.538317618580638
Rehab,1,48.0,48,
Religiously,67,33.88059701492537,21,7.170060622835936
Renaissance,7,21.714285714285715,2,14.727686916307052
Rich Baby Daddy (feat. Sexyy Red & SZA),141,26.326241134751772,10,9.657340993033458
Rich Flex,18,44.05555555555556,38,3.472111109333277
Rich Girl,2,35.0,30,7.0710678118654755
Rich Men North of Richmond,54,15.722222222222221,1,12.044597421417834
Road Rage,1,23.0,23,
Robin,4,42.75,37,6.652067347825035
Rockin' Around The Christmas Tree,61,12.80327868852459,1,15.459430425181852
Romantic Homicide,22,47.72727272727273,43,2.051290376273482
Rompe La Dompe,1,32.0,32,
Rudolph The Red-Nosed Reindeer,8,38.875,29,9.218575966880291
Run Rudolph Run,20,32.65,21,8.886861976506312
Runnin Outta Time,3,32.333333333333336,17,13.428824718989123
Rush,10,42.8,38,3.2249030993194205
S91,1,23.0,23,
SABOR FRESA,47,32.40425531914894,10,10.791823745756874
SAY MY GRACE (feat. Travis Scott),6,31.166666666666668,25,8.998147957589198
SEDA,5,26.4,8,16.87601848778319
SIRENS,9,20.88888888888889,9,10.469532516359608
SKI,2,29.0,14,21.213203435596427
SKINNY,14,24.071428571428573,9,11.391388688993816
SKITZO,3,17.333333333333332,14,3.5118845842842465
SKITZO (feat. Young Thug),5,24.2,20,3.8340579025361627
SLIDE,3,40.0,28,10.392304845413264
SLUT ME OUT,33,36.54545454545455,17,9.21646254363255
SMOKE HOUR ★ WILLIE NELSON,3,28.333333333333332,17,13.316656236958787
SPAGHETTII,6,29.833333333333332,15,12.303116136437415
STARS,6,14.833333333333334,4,7.756717518813397
SWEET ★ HONEY ★ BUCKIIN',2,41.5,37,6.363961030678928
Sailor Song,94,14.77659574468085,3,11.126983820047311
Santa Baby (with Henri René & His Orchestra),23,30.565217391304348,18,11.288876612748746
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",5,35.2,31,7.1902712048990205
Santa Claus Is Coming To Town,5,38.2,33,7.395944834840238
Santa Tell Me,37,18.89189189189189,7,12.317069871126419
Santa Tell Me - Naughty Version,2,9.5,9,0.7071067811865476
"Santa, Can’t You Hear Me",4,45.25,42,2.3629078131263053
Sarah's Place (feat. Noah Kahan),13,24.076923076923077,4,14.86865572528072
Saturn,119,22.92436974789916,3,12.587429607879216
Saturn Returns Interlude,5,32.0,19,9.9498743710662
Say Don't Go (Taylor's Version) (From The Vault),23,18.304347826086957,4,14.858223259157613
Say Yes To Heaven,15,39.6,10,10.795501708714474
Scared To Start,127,38.976377952755904,13,10.540522386176036
Screw The World - Interlude,2,24.5,21,4.949747468305833
Search & Rescue,84,31.0,11,12.55445967898759
See You Again (feat. Kali Uchis),444,29.382882882882882,4,11.80665438779139
Seen it All,1,39.0,39,
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),25,27.44,17,10.801543099637819
Selfish,2,44.0,44,0.0
September,3,19.666666666666668,12,7.094598884597588
Seven (feat. Latto) (Explicit Ver.),89,22.49438202247191,1,9.93058131996312
Shake It Off,1,34.0,34,
Shake It Off (Taylor's Version),6,31.833333333333332,15,13.257702163899545
Sharpest Tool,23,26.52173913043478,8,13.84941602056462
She Calls Me Back (with Kacey Musgraves),1,46.0,46,
She Stank,1,50.0,50,
Should've Been A Cowboy,5,27.4,5,16.92040188648012
Shut up My Moms Calling,45,46.355555555555554,41,2.939971826979696
Si Antes Te Hubiera Conocido,51,46.568627450980394,36,3.312128632530956
Si No Quieres No,1,50.0,50,
Sign Me Up,1,44.0,44,
Single Soon,10,35.6,21,8.630694577430537
Skin and Bones,1,37.0,37,
Sleigh Ride,34,19.38235294117647,9,8.323077467999706
Slim Pickins,16,24.9375,13,10.298664962022988
Slime You Out (feat. SZA),42,16.571428571428573,1,12.36664052640844
Slimed In,5,26.0,13,11.090536506409418
Slow It Down,197,37.36040609137056,19,7.2137238704532045
Smaller Acts,11,33.0,19,11.907980517283358
Smeraldo Garden Marching Band (feat. Loco),14,40.714285714285715,24,7.965585317511165
Snooze,282,30.45035460992908,9,12.31695948588803
Snooze (Acoustic) (feat. Justin Bieber),1,36.0,36,
Snow On The Beach (feat. More Lana Del Rey),3,20.0,4,16.522711641858304
Snowman,5,43.6,38,4.277849927241488
So High School,18,32.77777777777778,21,9.65618092546735
"So Long, London",35,19.4,4,14.783138248375689
Somebody Save Me,10,37.7,24,7.5726114679444905
Somebody's Watching Me - Single Version,3,19.333333333333332,7,19.655363983740756
Something Real,4,39.25,29,8.301606270274847
Something in the Orange,536,26.292910447761194,9,9.347598328133005
Sparks Fly (Taylor’s Version),7,14.714285714285714,3,11.338934190276817
Speak Now (Taylor's Version),7,22.714285714285715,8,15.228419547174353
Speed Drive (From Barbie The Album),30,37.333333333333336,23,8.018656407074234
Spin Again,2,25.5,13,17.67766952966369
Spin You Around (1/24),10,34.5,23,9.991663191547909
"Spooky, Scary Skeletons - Undead Tombstone Remix",2,17.5,11,9.192388155425117
Spotless (feat. The Lumineers),28,25.821428571428573,6,15.444173230460954
St. Chroma (feat. Daniel Caesar),29,7.551724137931035,1,8.740652994961252
Stand By Me (feat. Morgan Wallen),31,19.516129032258064,3,11.729935969538042
Standing Next to You,14,25.071428571428573,17,7.332375894874476
Stargazing,76,37.43421052631579,23,7.584783936831761
Stealth Mode (feat. Bas),1,33.0,33,
Stick Season,414,18.28985507246377,1,11.360610915190891
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",29,4.551724137931035,2,3.1462699786135837
Stickz N Stonez,2,33.0,18,21.213203435596427
Stories About My Brother,2,29.5,12,24.748737341529164
Story of My Life,6,37.833333333333336,24,11.14300976696452
Strangers,83,33.24096385542169,15,9.794959332633592
Style,38,34.39473684210526,8,10.854167150153476
Style (Taylor's Version),18,26.38888888888889,5,15.782115301780454
Suburban Legends (Taylor's Version) (From The Vault),14,15.857142857142858,5,12.799381853205874
Suicide Doors,3,7.0,3,4.0
Summertime's Close,12,27.333333333333332,4,14.754557590689384
Sun to Me,82,44.207317073170735,33,4.4186412214505975
Sunflower - Spider-Man: Into the Spider-Verse,44,36.09090909090909,26,6.781706521251163
Super Freak,1,35.0,35,
Super Shy,51,25.54901960784314,9,10.551424028045119
Superhero (Heroes & Villains) [with Future & Chris Brown],40,38.675,25,6.244536073178759
Superman (Taylor’s Version),3,32.333333333333336,23,11.372481406154654
Sure Thing,16,43.625,35,4.5
Surround Sound (feat. 21 Savage & Baby Tate),110,25.554545454545455,9,11.929138147722837
Sweater Weather,183,37.24590163934426,21,7.906713806698787
Sweet Dreams,4,43.5,42,1.9148542155126762
Sweet Home Alabama,3,33.0,26,12.12435565298214
Sympathy is a knife featuring ariana grande,6,29.833333333333332,8,13.07542223664944
TALKING,6,15.5,6,9.50263121456368
TEFLON DON,6,35.833333333333336,10,14.972196454317137
TELEFONO NUEVO,5,23.0,10,11.874342087037917
TELEKINESIS,3,13.666666666666666,12,1.5275252316519465
TELEKINESIS (feat. SZA & Future),67,28.611940298507463,10,11.82697894758779
TEXAS HOLD 'EM,64,13.671875,1,11.154121862513852
TGIF,2,36.5,36,0.7071067811865476
THANK GOD,9,14.333333333333334,4,6.946221994724902
THE DINER,14,30.214285714285715,16,9.664992908020569
THE GREATEST,18,29.333333333333332,11,12.83836163269148
THUNDER Y LIGHTNING,2,30.0,30,0.0
TIL FURTHER NOTICE,3,20.333333333333332,18,2.081665999466133
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),6,27.5,22,10.153817016275209
TOO FAST,2,33.5,17,23.33452377915607
TOO MUCH,1,33.0,33,
TOPIA TWINS,3,7.0,4,3.0
TOPIA TWINS (feat. Rob49 & 21 Savage),18,26.944444444444443,7,11.628930567502362
TQG,1,50.0,50,
TQM,68,25.029411764705884,8,10.130448544290438
TULUM,22,37.90909090909091,28,6.753546446896595
TV,1,50.0,50,
TYRANT,4,37.0,33,4.898979485566356
"Take Me Home, Country Roads",2,42.0,42,0.0
Take Two,1,17.0,17,
Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),12,26.0,8,13.259644860183165
Talk talk featuring troye sivan,2,47.0,46,1.4142135623730951
Talking / Once Again,1,33.0,33,
Taste,96,4.625,1,5.4911411909499614
Tell Ur Girlfriend,33,34.75757575757576,16,9.31071393285144
Temporary,1,27.0,27,
That Fiya,1,20.0,20,
That’s So True,38,8.052631578947368,1,9.863795027629273
The Addams Family,1,39.0,39,
The Albatross,10,33.3,24,9.45221902224258
The Alchemy,21,28.761904761904763,11,14.470330894298035
The Black Dog,15,31.066666666666666,20,10.208306608322646
The Bolter,7,39.714285714285715,34,5.2508502712826
The Christmas Song (Merry Christmas To You),34,19.852941176470587,10,6.74259348062152
The Emptiness Machine,16,33.125,17,9.932270636667125
The End (feat. BABYMETAL),1,43.0,43,
The Great American Bar Scene,2,23.0,14,12.727922061357855
The Kind of Love We Make,7,47.42857142857143,44,2.1491969707422407
The Man He Sees in Me,7,28.0,14,11.604596790352806
The Manuscript,5,42.8,36,6.300793600809346
The Prophecy,13,34.46153846153846,25,8.66617355599137
The Rush (feat. Big Time Rush),1,33.0,33,
The Shoe Fits,2,25.0,15,14.142135623730951
The Smallest Man Who Ever Lived,28,26.785714285714285,12,10.764678670462342
The Story Of Us (Taylor's Version),6,24.333333333333332,13,11.67333142965909
The Thin Grey Line,5,40.6,24,10.4546640309481
The Tortured Poets Department,28,22.857142857142858,5,12.176827676990927
The Way Back,3,44.333333333333336,36,7.371114795831993
"The girl, so confusing version with lorde",2,25.0,25,0.0
Thick Of It (feat. Trippie Redd),2,48.0,46,2.8284271247461903
Think U The Shit (Fart),15,28.0,14,11.777702904823409
Thinkin Bout You,7,43.57142857142857,36,5.5334480768366845
Thinkin’ Bout Me,324,39.01851851851852,21,7.1429215191948865
This Christmas,5,35.8,30,7.91833315793166
This Is Halloween,6,23.166666666666668,4,19.322698224281893
This Love (Taylor’s Version),6,35.833333333333336,21,11.49637624065369
This World's A Giant,3,23.0,11,10.583005244258363
Thought I Was Dead (feat. ScHoolboy Q & Santigold),25,26.4,6,14.130345596151095
Thriller,5,25.2,7,17.369513522260778
Thriller - 2003 Edit,1,23.0,23,
Ticking,13,26.615384615384617,10,13.200621585986406
Timeless (Taylor’s Version) (From The Vault),6,24.0,16,8.854377448471462
Timeless (with Playboi Carti),60,10.083333333333334,1,6.919125218212972
Tobey (feat. Big Sean and BabyTron),16,30.5,15,8.547904226573122
Tomorrow,9,31.333333333333332,11,14.465476141489432
Too Cool To Die,1,38.0,38,
Too Sweet,230,16.465217391304346,1,11.679718123941095
Total Eclipse of the Heart,1,36.0,36,
Tough,20,28.45,15,10.0024996875781
Tourniquet,42,29.833333333333332,8,14.447409535152756
Tradesman,8,32.375,18,9.210824377561744
Trae The Truth in Ibiza,1,34.0,34,
Training Season,8,32.0,24,6.458659745975609
Trance (with Travis Scott & Young Thug),19,44.421052631578945,33,4.7878989763973845
Tried Our Best,7,21.428571428571427,12,6.1062029351892875
Trouble,4,26.5,11,10.598742063723098
Try That In A Small Town,7,12.142857142857142,6,4.980915960897534
Tu Boda,39,23.58974358974359,11,7.704127221711301
Turks & Caicos (feat. 21 Savage),1,43.0,43,
Two Faced,1,46.0,46,
Type Shit,85,25.67058823529412,3,13.612309061404433
Tú Con Él,1,44.0,44,
UN PREVIEW,17,26.235294117647058,3,14.337579170508118
UNA NOCHE EN MEDELLÍN - REMIX,1,40.0,40,
Una Velita,1,20.0,20,
Uncle M,1,38.0,38,
Underneath the Tree,34,20.294117647058822,10,8.778518587540859
Used To Be Young,17,22.941176470588236,10,11.945033425211156
VOU 787,3,23.666666666666668,11,21.93931022920578
VUELVE CANDY B,2,22.0,22,0.0
VULTURES,4,28.25,17,14.174507634012077
VVS,4,29.0,16,10.392304845413264
Virginia Beach,28,19.071428571428573,2,12.11955435994236
Vultures,2,33.5,33,0.7071067811865476
WHATCHU KNO ABOUT ME (feat. Sexyy Red),12,33.416666666666664,22,6.921092049056645
WHERE SHE GOES,94,21.79787234042553,1,14.553261310758725
WHISKEY WHISKEY (feat. Morgan Wallen),3,39.666666666666664,38,2.886751345948128
WILDFLOWER,147,27.959183673469386,10,12.536455088196254
WTFYM,1,40.0,40,
Wagon Wheel,2,41.0,41,0.0
Wanna Be (with Megan Thee Stallion),19,37.63157894736842,25,8.970386628084093
Want Me Dead (feat. 21 Savage),1,33.0,33,
War Bout It (feat. 21 Savage),3,29.333333333333332,13,17.61628034896508
Wasted On You,193,34.740932642487046,14,11.073393090752006
Watch This - ARIZONATEARS Pluggnb Remix,3,47.0,46,1.0
Water,52,31.423076923076923,11,8.289719959900616
We Don't Trust You,13,27.307692307692307,4,16.947883916016455
We Found Love,1,38.0,38,
We Good,1,14.0,14,
We Still Don't Trust You,7,22.714285714285715,15,5.851332774513447
Welcome To New York (Taylor's Version),10,24.0,9,12.292725943057183
Werewolf (feat. Bring Me The Horizon),3,34.666666666666664,24,12.897028081435403
What Don't Belong To Me,7,27.571428571428573,16,11.759494644146672
What Is This Feeling?,1,45.0,45,
"What Was I Made For? [From The Motion Picture ""Barbie""]",142,26.45774647887324,3,13.732822017319844
What Would Pluto Do,7,18.285714285714285,14,3.3022358947782497
Whatever She Wants,79,23.40506329113924,4,14.5386478644581
Whatever She Wants [BONUS],10,20.9,17,2.0789954839350226
When Emma Falls in Love (Taylor’s Version) (From The Vault),7,21.571428571428573,12,12.554642472768695
When It Rains It Pours,6,47.166666666666664,43,3.311595788538611
Where the Wild Things Are,46,43.67391304347826,34,4.94437659400876
Whiskey Glasses,9,46.22222222222222,39,3.38296385503074
White Christmas - 1947 Version,56,25.285714285714285,11,10.494525474506457
White Horse,2,35.5,35,0.7071067811865476
Who,129,7.658914728682171,1,5.1348930795085215
Who Told You (feat. Drake),1,31.0,31,
Who’s Afraid of Little Old Me?,41,21.70731707317073,7,13.509707440279792
Wick Man,1,21.0,21,
Wild Ones (feat. Jelly Roll),3,46.666666666666664,46,1.1547005383792526
Wildest Dreams (Taylor's Version),15,29.2,10,13.417472617023352
Wildflower and Barley (feat. Allison Russell),2,32.0,16,22.627416997969522
Wind Up Missin’ You,13,46.07692307692308,41,3.2005608482873353
Winter Wonderland - Remastered,3,46.666666666666664,46,1.154700538379251
Winter Wonderland - Spotify Singles Holiday,4,39.75,37,2.0615528128088303
"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",1,13.0,13,
Wonderful Christmastime - Edited Version / Remastered 2011,13,38.0,26,8.366600265340756
Wonderland (Taylor's Version),6,30.5,19,9.22496612459905
World Tour (Aquafina),1,49.0,49,
Wrong Ones (Feat. Tim McGraw),7,18.285714285714285,9,5.707138387268052
YA YA,7,31.142857142857142,20,10.714920616109286
Yeah Glo!,28,44.285714285714285,32,4.378881498122916
Yeah! (feat. Lil Jon & Ludacris),8,30.5,8,14.5209208680835
You Are In Love (Taylor's Version),6,32.0,22,9.633275663033835
You Broke My Heart,7,16.0,2,11.40175425099138
You Proof,302,32.59933774834437,9,12.026068012959367
You Should Probably Leave,2,46.0,46,0.0
Young Metro,13,29.53846153846154,6,16.199873377156297
"Your Needs, My Needs",1,47.0,47,
Yours,1,46.0,46,
You’re Gonna Go Far,1,39.0,39,
You’re Losing Me (From The Vault),16,21.5,1,18.611824198610947
Zoom (Bonus Track),1,32.0,32,
act ii: date @ 8,53,37.283018867924525,25,6.904227686131508
act ii: date @ 8 (feat. Drake) - remix,13,33.23076923076923,16,8.955015784034538
all of me,10,22.9,8,14.145670715805597
all-american bitch,27,17.703703703703702,4,12.076088308384833
august,39,30.641025641025642,9,10.810538667836996
back at it,1,44.0,44,
back to the moon,2,27.5,18,13.435028842544403
bad idea right?,83,17.843373493975903,1,14.33610649571082
ballad of a homeschooled girl,14,18.571428571428573,10,7.418420791042189
bye,13,16.846153846153847,2,9.538047964565862
cardigan,13,45.53846153846154,36,5.4713707090543044
dangerous,5,26.2,15,11.861703081766969
"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)",1,10.0,10,
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",2,7.5,7,0.7071067811865476
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch))",1,8.0,8,
don't wanna break up again,11,26.363636363636363,7,13.36617168281724
eternal sunshine,13,15.538461538461538,5,8.089245789064481
euphoria,63,22.53968253968254,1,15.534379559051924
exes,66,37.621212121212125,13,10.090002899313678
fukumean,236,15.055084745762711,1,12.463783090577186
get him back!,34,17.147058823529413,3,14.2214783209341
girl i’ve always been,1,29.0,29,
gloria (feat. sza),1,17.0,17,
gloria (with sza),3,13.333333333333334,12,1.5275252316519465
"gnx (feat. hitta j3, youngthreat, peysoh)",4,14.0,11,2.1602468994692865
golden hour,40,43.1,31,5.309884348540163
greedy,217,14.110599078341014,3,8.566014248319142
heart pt. 6,4,10.75,9,1.5
hey now (feat. dody6),4,5.0,5,0.0
i like the way you kiss me,100,19.09,3,11.981547260161133
i wish i hated you,7,26.428571428571427,19,8.403514004215596
if u think i'm pretty,6,47.833333333333336,46,1.3291601358251257
imgonnagetyouback,15,29.733333333333334,22,8.258905727124134
imperfect for you,7,29.285714285714285,22,7.910210399946931
intro (end of the world),9,26.77777777777778,8,13.470131567451167
just like me,2,46.0,46,0.0
lacy,18,22.38888888888889,10,12.334260696454594
letter to my brudda,2,36.0,36,0.0
logical,14,19.142857142857142,9,9.614549414276285
loml,22,29.954545454545453,13,12.785696147415125
love hotel,1,37.0,37,
love is embarrassing,14,20.785714285714285,12,8.29437781251272
luther (with sza),4,2.75,2,0.5
making the bed,14,14.571428571428571,7,6.477348528220784
man at the garden,4,6.25,4,1.707825127659933
meet the grahams,13,13.923076923076923,5,7.931598603702561
misses,2,47.5,47,0.7071067811865476
n.h.i.e.,14,21.285714285714285,6,12.356428233163443
née-nah,27,24.14814814814815,4,15.396562312871373
obsessed,27,29.074074074074073,9,11.020700542880224
on one tonight,3,48.666666666666664,48,1.154700538379251
one of wun,68,38.69117647058823,19,9.159054492264689
ordinary things (feat. Nonna),5,36.0,28,7.810249675906654
peekaboo (feat. azchike),4,10.25,9,0.9574271077563381
pop ur shit,5,23.2,13,11.627553482998906
pretty isn’t pretty,14,29.142857142857142,14,13.88334443667133
prove it,3,30.666666666666668,25,9.814954576223638
red sky,3,34.333333333333336,29,9.237604307034012
redrum,116,15.89655172413793,2,15.525227330321803
reincarnated,4,6.5,6,0.5773502691896258
run for the hills,4,40.25,34,7.22841614740048
scared of my guitar,1,32.0,32,
see the real,2,39.0,39,0.0
should've wore a bonnet,4,31.0,21,12.24744871391589
sneaky,6,30.5,17,13.03456942135029
so american,6,30.333333333333332,20,8.04155872120988
squabble up,4,1.0,1,0.0
stranger,1,30.0,30,
supernatural,12,23.833333333333332,9,12.246211535397263
teenage dream,9,27.22222222222222,17,13.026682019779422
thanK you aIMee,9,28.77777777777778,18,9.731107051330001
the boy is mine,23,20.043478260869566,4,14.977189507167118
the grudge,22,20.727272727272727,6,14.765409442928293
true story,8,25.0,11,12.20070255588353
tv off (feat. lefty gunplay),4,3.25,2,1.8929694486000912
un x100to,100,19.6,3,15.902480589168752
us. (feat. Taylor Swift),8,29.75,12,12.302729081677075
vampire,258,22.337209302325583,1,14.69980581553335
wacced out murals,4,3.5,2,1.0
we can't be friends (wait for your love),116,22.974137931034484,1,14.171288307484716
we fell in love in october,11,46.63636363636363,38,3.748939243912264
x2,3,24.0,8,17.69180601295413
"yes, and?",43,15.581395348837209,1,10.830364189759964
you look like you love me (feat. Riley Green),18,36.611111111111114,22,8.261454713724945
